Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
WN08,EAST,III,WN08,EAST 1,MG BILASPUR,BILASPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
WN09,EAST,III,WN08,EAST 1,MG AMBIKAPUR,AMBIKAPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
WN33,EAST,,WN33,EAST 1,MG AMBIKAPUR,AMBIKAPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
EU06,EAST,III,W303,EAST 1,MG JAGDALPUR,JAGDALPUR,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
EX05,EAST,III,W303,EAST 1,MG BHILAI- SALES,BHILAI,SHIV,SHIVAYAA CARS PVT LTD,CHHATTISGARH
DE04,CENTRAL,,DE04,CENTRAL 1,MG PATPARGANJ,NEW DELHI,CRYS,CRYSTAL AUTOCARS PVT LTD.,DELHI
DS09,CENTRAL,,DS09,CENTRAL 1,MG DELHI CENTRAL,NEW DELHI,LMPL,LEGACY MOTOR PVT. LTD,DELHI
DW16,CENTRAL,I+,DS09,CENTRAL 1,MG DELHI CENTRAL SERVICE,NEW DELHI,LMPL,LEGACY MOTOR PVT. LTD,DELHI
DE03,CENTRAL,,DE03,CENTRAL 1,MG DELHI WEST ROHINI,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DS03,CENTRAL,,DS03,CENTRAL 1,MG DELHI WEST SHIVAJI MARG,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DS07,CENTRAL,,DS07,CENTRAL 1,MG DELHI WEST DWARKA,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DW03,CENTRAL,I+,DW03,CENTRAL 1,MG DELHI  WEST SERVICE,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DW05,CENTRAL,I+,DW05,CENTRAL 1,MG DELHI NORTH SERVICE,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DW11,CENTRAL,I+,DW11,CENTRAL 1,MG DELHI WEST BODYSHOP,NEW DELHI,MGCP,MG CARS PRIVATE LIMITED,DELHI
DE02,CENTRAL,,DE02,CENTRAL 1,MG LAJPAT NAGAR,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DN03,CENTRAL,I+,DN03,CENTRAL 1,MG DWARKA,DWARKA,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DN04,CENTRAL,III,DN04,CENTRAL 1,MG DWARKA,DWARKA,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DS02,CENTRAL,,DS02,CENTRAL 1,MG DELHI SOUTH SAFDURJUNG,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DS06,CENTRAL,,DS06,CENTRAL 1,MG DELHI SOUTH MCIE,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DW02,CENTRAL,I+,DW02,CENTRAL 1,MG DELHI SOUTH SERVICE,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DW04,CENTRAL,I+,DE02,CENTRAL 1,MG DELHI SOUTH BODYSHOP,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
DW14,CENTRAL,I+,DW14,CENTRAL 1,MG DELHI SOUTH SERVICE OKHLA,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
WS20,WEST,,WS20,WEST 1,MG GOA,GOA,AERO,AEROMARK CARS PVT LTD,GOA
WW23,WEST,II,WW23,WEST 1,MG GOA SERVICE,GOA,AERO,AEROMARK CARS PVT LTD,GOA
WN19,WEST,II,WS04,WEST 1,MG MARGAO,MUDGAON,PRIO,PRIORITY AUTO LINCS,GOA
WS04,WEST,,WS04,WEST 1,MG GOA,GOA,PRIO,PRIORITY AUTO LINCS,GOA
WW04,WEST,II,WW04,WEST 1,MG GOA SERVICE,GOA,PRIO,PRIORITY AUTO LINCS,GOA
W316,WEST,I,W316,WEST 2,MG AHMEDABAD NORTH,AHMEDABAD,AERO,AEROMARK CARS PVT LTD,GUJARAT
WS21,WEST,,WS21,WEST 2,MG AHMEDABAD VASTRAL,AHMEDABAD,AERO,AEROMARK CARS PVT LTD,GUJARAT
WE03,WEST,,WE03,WEST 2,MG AHMEDABAD NARODA,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WN01,WEST,III,WN01,WEST 2,MG MEHSANA,MEHSANA,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WN15,WEST,II,WS14,WEST 2,MG GANDHINAGAR,GANDHINAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WN32,WEST,III,WN32,WEST 2,MG HIMMATNAGAR,HIMMATNAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WS07,WEST,,WS07,WEST 2,MG AHMEDABAD SG HIGHWAY,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WS14,WEST,,WS14,WEST 2,MG GANDHINAGAR,GANDHINAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WS16,WEST,,WS16,WEST 2,MG AMBAWADI,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WW07,WEST,I,WW07,WEST 2,MG AHMEDABAD SERVICE,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WW17,WEST,I,WW17,WEST 2,MG GOTA,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
WN02,WEST,III,WN02,WEST 2,MG GANDHIDHAM,GANDHIDHAM,JAIG,JAI GANESH AUTOCARS,GUJARAT
WN17,WEST,III,WN17,WEST 2,MG JAMNAGAR,JAMNAGAR,JAIG,JAI GANESH AUTOCARS,GUJARAT
WN18,WEST,III,WS10,WEST 2,MG BHAVNAGAR,BHAVNAGAR,JAIG,JAI GANESH AUTOCARS,GUJARAT
WS10,WEST,,WS10,WEST 2,MG RAJKOT,RAJKOT,JAIG,JAI GANESH AUTOCARS,GUJARAT
WW09,WEST,II,WW09,WEST 2,MG RAJKOT SERVICE,RAJKOT,JAIG,JAI GANESH AUTOCARS,GUJARAT
WU05,WEST,III,WS10,WEST 2,"MG JAI GANESH, BHUJ",BHUJ,JAIG,JAI GANESH AUTOCARS,GUJARAT
WU06,WEST,III,WS10,WEST 2,"MG JAI GANESH, MORBI",MORBI,JAIG,JAI GANESH AUTOCARS,GUJARAT
WN16,WEST,III,WN16,WEST 2,MG ANAND,ANAND,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
WS03,WEST,,WS03,WEST 2,MG VADODARA,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
WW03,WEST,II,WW03,WEST 2,MG VADODARA SERVICE,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
WW18,WEST,II,WW18,WEST 2,MG VADODARA BODYSHOP,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
WN03,WEST,III,WN03,WEST 2,MG BHARUCH,BHARUCH,NANA,NANAVATI AUTOSQUARE,GUJARAT
WN11,WEST,III,WN11,WEST 2,MG VAPI,VAPI,NANA,NANAVATI AUTOSQUARE,GUJARAT
WS02,WEST,,WS02,WEST 2,MG SURAT,SURAT,NANA,NANAVATI AUTOSQUARE,GUJARAT
WW02,WEST,II,WW02,WEST 2,MG SURAT SERVICE,SURAT,NANA,NANAVATI AUTOSQUARE,GUJARAT
WW21,WEST,II,WW21,WEST 2,MG SURAT BODYSHOP,SURAT,NANA,NANAVATI AUTOSQUARE,GUJARAT
W319,WEST,I,WS02,WEST 2,"MG NANAVATI AUTO, SURAT ADAJAN",SURAT,NANA,NANAVATI AUTOSQUARE,GUJARAT
W317,WEST,,W317,WEST 2,MG PALANPUR,PALANPUR,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
WU01,WEST,,W317,WEST 2,MG PATAN SALES,PATAN,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
WU02,WEST,III,WU02,WEST 2,MG PATAN SERVICE,PATAN,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
W318,WEST,III,W318,WEST 2,MG SALES & SERVICE RIYA AUTO M,MEHSANA,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
WU03,WEST,,WU03,WEST 2,MG SALES RIYA AUTO VISNAGAR,VISNAGAR,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
WS25,WEST,,WS25,WEST 2,"MG TECHAPOLLO, VADODARA CHHANI",VADODARA,TACL,TECHAPOLLO CARS LLP,GUJARAT
WW26,WEST,I,WW26,WEST 2,"MG TECHAPOLLO, VADODARA CHHANI",VADODARA,TACL,TECHAPOLLO CARS LLP,GUJARAT
WU04,WEST,III,WS25,WEST 2,"MG TECHAPOLLO, GODHRA",GODHRA,TACL,"MG TECHAPOLLO, GODHRA",GUJARAT
N324,NORTH,III,N324,NORTH 2,MG  KAITHAL,KAITHAL,LRMP,LEKH RAJ MOTORS PRIVATE LTD,HARYANA
DS10,CENTRAL,,DS10,CENTRAL 1,MG REWARI,REWARI,HVAW,HARSH VARDHAN AUTO WHEELS LLP,HARYANA
BL02,DIRECT SALES,,BL02,DIRECT SALES,BLU-SMART PREMIUM FLEET PVT LTD,GURUGRAM,BL02,BLU-SMART PREMIUM FLEET PVT LTD,HARYANA
N329,NORTH,III,N329,NORTH 2,MG AMBALA,AMBALA,JSBM,JSB MOBILITY PVT LTD,HARYANA
D301,CENTRAL,I+,D301,CENTRAL 1,MG FARIDABAD,FARIDABAD,CARD,CARGO MOTORS PVT. LTD,HARYANA
DE01,CENTRAL,,DE01,CENTRAL 1,MG GURGAON CENTRAL,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
DN01,CENTRAL,III,DS01,CENTRAL 1,MG REWARI,REWARI,CARD,CARGO MOTORS PVT. LTD,HARYANA
DS01,CENTRAL,,DS01,CENTRAL 1,MG GURGAON FLAGSHIP SHOWROOM,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
DW01,CENTRAL,I+,DW01,CENTRAL 1,MG GURGAON SERVICE,GURUGRAM,CARD,SAINI COMMERCE PVT LTD,HARYANA
DW07,CENTRAL,I+,DW07,CENTRAL 1,MG FARIDABAD BODYSHOP,FARIDABAD,CARD,CARGO MOTORS PVT. LTD,HARYANA
DW10,CENTRAL,I+,DW10,CENTRAL 1,MG GURGAON CENTRAL WORKSHOP,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
DW19,CENTRAL,I+,DS01,CENTRAL 1,MG GURGAON UDYOG VIHAR SERVICE,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
DW17,CENTRAL,III,DS10,CENTRAL 1,MG REWARI SERVICE,REWARI,CRYS,CRYSTAL AUTOCARS PVT LTD.,HARYANA
N312,NORTH,III,N312,NORTH 2,MG HISAR,HISAR,GITA,GITANSH MOTORS PVT LTD,HARYANA
N315,NORTH,III,N315,NORTH 2,MG AMBALA,AMBALA,GITA,GITANSH MOTORS PVT LTD,HARYANA
NX03,NORTH,,NS01,NORTH 1,MG PANCHKULA,PANCHKULA,KRIS,KRISHNA MOTOR GARAGE,HARYANA
NS10,NORTH,,NS10,NORTH 2,MG ROHTAK,ROHTAK,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
NW08,NORTH,III,NW08,NORTH 2,MG ROHTAK SERVICE,ROHTAK,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
NX02,NORTH,,NS10,NORTH 2,MG BAHADURGARH,BAHADURGARH,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
D303,CENTRAL,III,D303,CENTRAL 1,MG SONIPAT,SONIPAT,MGCP,MG CARS PRIVATE LIMITED,HARYANA
DS04,CENTRAL,,DS04,CENTRAL 1,MG SONIPAT,SONIPAT,MGCP,MG CARS PRIVATE LIMITED,HARYANA
DW06,CENTRAL,III,DW06,CENTRAL 1,MG SONIPAT SERVICE,SONIPAT,MGCP,MG CARS PRIVATE LIMITED,HARYANA
NN08,CENTRAL,III,DS03,CENTRAL 1,MG ROHTAK,ROHTAK,MGCP,MG CARS PRIVATE LIMITED,HARYANA
NN09,CENTRAL,III,D303,CENTRAL 1,MG SONIPAT,SONIPAT,MGCP,MG CARS PRIVATE LIMITED,HARYANA
DS11,CENTRAL,,DS11,CENTRAL 1,MG GURGAON SOUTH,GURUGRAM,MGCP,MG CARS PRIVATE LIMITED,HARYANA
DW18,CENTRAL,I+,DW18,CENTRAL 1,MG GURGAON SOUTH SERVICE,GURUGRAM,MGCP,MG CARS PRIVATE LIMITED,HARYANA
N305,NORTH,III,N305,NORTH 2,MG KARNAL,KARNAL,RAHU,RAHUL GARAGES LLP,HARYANA
NN10,NORTH,III,NN10,NORTH 2,MG YAMUNA NAGAR,YAMUNANAGAR,RAHU,RAHUL GARAGES LLP,HARYANA
NN11,NORTH,III,N305,NORTH 2,MG PANIPAT,PANIPAT,RAHU,RAHUL GARAGES LLP,HARYANA
NN18,NORTH,III,N305,NORTH 2,MG AMBALA,AMBALA,RAHU,RAHUL GARAGES LLP,HARYANA
NS09,NORTH,,NS09,NORTH 2,MG PANIPAT,PANIPAT,RAHU,RAHUL GARAGES LLP,HARYANA
NW07,NORTH,III,NW07,NORTH 2,MG PANIPAT SERVICE,PANIPAT,RAHU,RAHUL GARAGES LLP,HARYANA
N322,NORTH,,N322,NORTH 2,MG SIRSA,SIRSA,RCPL,RITU CARS PRIVATE LTD,HARYANA
NU02,NORTH,II,N322,NORTH 2,MG BHIWANI,BHIWANI,RCPL,RITU CARS PRIVATE LTD,HARYANA
N327,NORTH,III,N327,NORTH 2,MG HISAR,HISAR,RCPL,RITU CARS PRIVATE LTD,HARYANA
N328,NORTH,III,N328,NORTH 1,MG KANGRA,KANGRA,MAPL,MAHARAJA AUTOZONE PVT LTD,HIMACHAL PRADESH
N314,NORTH,III,N314,NORTH 1,MG MANDI,MANDI,KRIS,KRISHNA MOTOR GARAGE,HIMACHAL PRADESH
N323,NORTH,III,N323,NORTH 1,MG SOLAN,SOLAN,LOMP,LONGWALL MOTORS PVT LTD,HIMACHAL PRADESH
NU01,NORTH,III,N323,NORTH 1,MG SHIMLA,SHIMLA,LOMP,LONGWALL MOTORS PVT LTD,HIMACHAL PRADESH
N326,NORTH,III,N326,NORTH 1,MG SRINAGAR,SRINAGAR,ARGA,ARG AUTOMOBILES PVT LTD,JAMMU AND KASHMIR
NW17,NORTH,III,NW17,NORTH 1,MG SRINAGAR WORKSHOP,SRINAGAR,KYAP,KY AUTOWHEELS PVT LTD,JAMMU AND KASHMIR
NW14,NORTH,II,NW14,NORTH 1,MG JAMMU AMGA,JAMMU,AMGA,AMG AUTOCRAFT PVT LTD,JAMMU AND KASHMIR
NU05,NORTH,III,NW14,NORTH 1,MG KATHUA,KATHUA,AMGA,AMG AUTOCRAFT PVT LTD,JAMMU AND KASHMIR
NN32,NORTH,III,NN32,NORTH 1,MG ANANTNAG,ANANTNAG,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
NS04,NORTH,,NS04,NORTH 1,MG JAMMU,JAMMU,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
NS05,NORTH,III,NS05,NORTH 1,MG SRINAGAR,SRINAGAR,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
NW03,NORTH,II,NW03,NORTH 1,MG JAMMU SERVICE,JAMMU,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
NW04,NORTH,II,NS05,NORTH 1,MG SRINAGAR,SRINAGAR,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
E303,EAST,III,E303,EAST 2,MG JAMSHEDPUR,JAMSHEDPUR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
E304,EAST,III,E304,EAST 2,MG DHANBAD,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EE02,EAST,,EE02,EAST 2,MG DHANBAD DHANSAR CHOWK,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EN01,EAST,III,ES02,EAST 2,MG DHANBAD,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EN08,EAST,III,EN08,EAST 2,MG JAMSHEDPUR,JAMSHEDPUR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EN09,EAST,III,E304,EAST 1,MG DEOGHAR,DEOGHAR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EN10,EAST,III,ES02,EAST 1,MG HAZARIBAGH,HAZARIBAGH,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
ES02,EAST,,ES02,EAST 2,MG RANCHI,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EW02,EAST,II,EW02,EAST 2,MG RANCHI SERVICE,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EX02,EAST,,ES02,EAST 2,MG RANCHI EXPERIA,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EU05,EAST,III,E304,EAST 2,MG DEOGHAR,DEOGHAR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
EU09,EAST,,ES02,EAST 2,MG DALTONGANJ,DALTONGANJ,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
S318,SOUTH,III,S318,SOUTH 1,"MG JOSHI CARS, VIJAYPUR",VIJAYAPURA,JCPL,JOSHI CARS PVT LTD,KARNATAKA
BL01,DIRECT SALES,,BL01,DIRECT SALES,BLU-SMART PREMIUM FLEET PVT LTD,BENGALURU,BL01,BLU-SMART PREMIUM FLEET PVT LTD,KARNATAKA
SS24,SOUTH,,SS24,SOUTH 1,MG BENGALURU MAGADI ROAD,BENGALURU,ARTH,KSIRI MOBILITY SOLUTIONS PRIVATE LIMITED,KARNATAKA
SW19,SOUTH,,SW19,SOUTH 1,MG BANGALORE PEENYA SERVICE,BENGALURU,ARTH,KSIRI MOBILITY SOLUTIONS PRIVATE LIMITED,KARNATAKA
S311,SOUTH,III,S311,SOUTH 1,MG HUBLI,HUBLI,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
SN28,SOUTH,III,SN28,SOUTH 1,MG BELGAUM,BELGAUM,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
SN31,SOUTH,III,SN31,SOUTH 1,MG GULBARGA,GULBARGA,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
SU09,SOUTH,III,S311,SOUTH 1,"MG BELLAD, HOSPET SALES & SERV",HOSPET,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
SS12,SOUTH,,SS12,SOUTH 1,MG SHIMOGA,SHIMOGA,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
SW11,SOUTH,III,SW11,SOUTH 1,MG SHIMOGA SERVICE,SHIMOGA,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
SU03,SOUTH,,SU03,SOUTH 1,"MG CAUVERY MOTORS, DAVANAGERE",DAVANAGERE,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
S304,SOUTH,III,S304,SOUTH 1,MG MYSORE,MYSORE,DYUT,DYUTHI AUTOMOBILES,KARNATAKA
SN09,SOUTH,III,SN09,SOUTH 1,MG HASAN,HASSAN,DYUT,DYUTHI AUTOMOBILES,KARNATAKA
S312,SOUTH,III,S312,SOUTH 1,MG MANGALORE,MANGALORE,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SE01,SOUTH,,SE01,SOUTH 1,MG BANGALORE CHORD ROAD,BENGALURU,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SE02,SOUTH,,SE02,SOUTH 1,MG BANGALORE ORR,BENGALURU,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SE03,SOUTH,,SE03,SOUTH 1,MG BANGALORE JP NAGAR,BENGALURU,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SN02,SOUTH,III,SS02,SOUTH 1,MG TUMKUR,TUMKUR,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SN10,SOUTH,III,SN10,SOUTH 1,MG MANGALORE,MANGALORE,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SN22,SOUTH,I+,SS03,SOUTH 1,MG MYSORE ROAD,BENGALURU,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
SN30,SOUTH,III,SN30,SOUTH 1,MG UDUPI,UDUPI,JUBM,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
