Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
,,I+,DN03,CENTRAL 1,,DWARKA,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,III,DN04,CENTRAL 1,,DWARKA,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,nan,DS02,CENTRAL 1,,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,nan,DS06,CENTRAL 1,,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,I+,DW02,CENTRAL 1,,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,I+,DE02,CENTRAL 1,,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,I+,DW14,CENTRAL 1,,NEW DELHI,PAHW,SAI SHREEJA CARS PVT LTD.,DELHI
,,nan,WS20,WEST 1,,GOA,AERO,AEROMARK CARS PVT LTD,GOA
,,II,WW23,WEST 1,,GOA,AERO,AEROMARK CARS PVT LTD,GOA
,,II,WS04,WEST 1,,MUDGAON,PRIO,PRIORITY AUTO LINCS,GOA
,,nan,WS04,WEST 1,,GOA,PRIO,PRIORITY AUTO LINCS,GOA
,,II,WW04,WEST 1,,GOA,PRIO,PRIORITY AUTO LINCS,GOA
,,I,W316,WEST 2,,AHMEDABAD,AERO,AEROMARK CARS PVT LTD,GUJARAT
,,nan,WS21,WEST 2,,AHMEDABAD,AERO,AEROMARK CARS PVT LTD,GUJARAT
,,nan,WE03,WEST 2,,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,III,WN01,WEST 2,,<PERSON>,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,II,WS14,WEST 2,,GANDHINAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,III,WN32,WEST 2,,HIMMATNAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,nan,WS07,WEST 2,,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,nan,WS14,WEST 2,,GANDHINAGAR,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,nan,WS16,WEST 2,,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,I,WW07,WEST 2,,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,I,WW17,WEST 2,,AHMEDABAD,CONC,CONCEPT MOTOR GARAGE,GUJARAT
,,III,WN02,WEST 2,,<PERSON>,JAIG,<PERSON> AUTOCARS,GUJARAT
,,III,WN17,WEST 2,,JAMNAGAR,JAIG,<PERSON> AUTOCARS,GUJARAT
,,III,WS10,WEST 2,,BHAVNAGAR,JAIG,<PERSON> AUTOCARS,GUJARAT
,,nan,WS10,WEST 2,,RAJKOT,JAIG,<PERSON> AUTOCARS,GUJARAT
,,II,WW09,WEST 2,,RAJKOT,JAIG,<PERSON> AUTOCARS,GUJARAT
,,III,WS10,WEST 2,,BHUJ,JAIG,<PERSON> AUTOCARS,GUJARAT
,,III,WS10,WEST 2,,MORBI,JAIG,<PERSON> AUTOCARS,GUJARAT
,,III,<PERSON>,WEST 2,,<PERSON>,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
,,nan,WS03,WEST 2,,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
,,II,WW03,WEST 2,,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
,,II,WW18,WEST 2,,VADODARA,KAYA,KAYAKALP CARS PVT. LTD,GUJARAT
,,III,WN03,WEST 2,,BHARUCH,NANA,<PERSON>,GUJARAT
,,III,WN11,WEST 2,,VAPI,NANA,<PERSON>,GUJARAT
,,nan,WS02,WEST 2,,SURAT,NANA,<PERSON>,GUJARAT
,,II,WW02,WEST 2,,SURAT,NANA,<PERSON>,GUJARAT
,,II,WW21,WEST 2,,SURAT,NANA,<PERSON>,GUJARAT
,,I,WS02,WEST 2,,SURAT,NANA,<PERSON>,GUJARAT
,,nan,W317,WEST 2,,PALANPUR,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
,,nan,W317,WEST 2,,PATAN,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
,,III,WU02,WEST 2,,PATAN,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
,,III,W318,WEST 2,,<PERSON>,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
,,nan,WU03,WEST 2,,VISNAGAR,RIYA,RIYA AUTOTORQUE PRIVATE LTD,GUJARAT
,,nan,WS25,WEST 2,,VADODARA,TACL,TECHAPOLLO CARS LLP,GUJARAT
,,I,WW26,WEST 2,,VADODARA,TACL,TECHAPOLLO CARS LLP,GUJARAT
,,III,WS25,WEST 2,,GODHRA,TACL,GODHRA,GUJARAT
,,III,N324,NORTH 2,,KAITHAL,LRMP,LEKH RAJ MOTORS PRIVATE LTD,HARYANA
,,nan,DS10,CENTRAL 1,,REWARI,HVAW,HARSH VARDHAN AUTO WHEELS LLP,HARYANA
,,nan,BL02,DIRECT SALES,,GURUGRAM,BL02,BLU-SMART PREMIUM FLEET PVT LTD,HARYANA
,,III,N329,NORTH 2,,<PERSON>,JSBM,JSB MOBILITY PVT LTD,HARYANA
,,I+,D301,CENTRAL 1,,FARIDABAD,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,nan,DE01,CENTRAL 1,,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,III,DS01,CENTRAL 1,,REWARI,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,nan,DS01,CENTRAL 1,,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,I+,DW01,CENTRAL 1,,GURUGRAM,CARD,SAINI COMMERCE PVT LTD,HARYANA
,,I+,DW07,CENTRAL 1,,FARIDABAD,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,I+,DW10,CENTRAL 1,,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,I+,DS01,CENTRAL 1,,GURUGRAM,CARD,CARGO MOTORS PVT. LTD,HARYANA
,,III,DS10,CENTRAL 1,,REWARI,CRYS,CRYSTAL AUTOCARS PVT LTD.,HARYANA
,,III,N312,NORTH 2,,HISAR,<PERSON>,GITANSH MOTORS PVT LTD,HARYANA
,,III,N315,NORTH 2,,<PERSON>,<PERSON>,GITANSH MOTORS PVT LTD,HARYANA
,,nan,NS01,NORTH 1,,PANCHKULA,<PERSON>,KRISHNA MOTOR GARAGE,HARYANA
,,nan,NS10,NORTH 2,,ROHTAK,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
,,III,NW08,NORTH 2,,ROHTAK,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
,,nan,NS10,NORTH 2,,BAHADURGARH,LAPL,LOHCHAB AUTOCAR PVT. LTD,HARYANA
,,III,D303,CENTRAL 1,,SONIPAT,MGCP,PRIVATE LIMITED,HARYANA
,,nan,DS04,CENTRAL 1,,SONIPAT,MGCP,PRIVATE LIMITED,HARYANA
,,III,DW06,CENTRAL 1,,SONIPAT,MGCP,PRIVATE LIMITED,HARYANA
,,III,DS03,CENTRAL 1,,ROHTAK,MGCP,PRIVATE LIMITED,HARYANA
,,III,D303,CENTRAL 1,,SONIPAT,MGCP,PRIVATE LIMITED,HARYANA
,,nan,DS11,CENTRAL 1,,GURUGRAM,MGCP,PRIVATE LIMITED,HARYANA
,,I+,DW18,CENTRAL 1,,GURUGRAM,MGCP,PRIVATE LIMITED,HARYANA
,,III,N305,NORTH 2,,KARNAL,RAHU,<PERSON>,HARYANA
,,III,NN10,NORTH 2,,YAMUNANAGAR,RAHU,<PERSON>,HARYANA
,,III,N305,NORTH 2,,PANIPAT,RAHU,<PERSON>,HARYANA
,,III,N305,NORTH 2,,<PERSON>,RAHU,<PERSON>,HARYANA
,,nan,NS09,NORTH 2,,PANIPAT,RAHU,<PERSON>,HARYANA
,,III,NW07,NORTH 2,,PANIPAT,RAHU,<PERSON>,HARYANA
,,nan,N322,NORTH 2,,SIRSA,RCPL,RITU CARS PRIVATE LTD,HARYANA
,,II,N322,NORTH 2,,BHIWANI,RCPL,RITU CARS PRIVATE LTD,HARYANA
,,III,N327,NORTH 2,,HISAR,RCPL,RITU CARS PRIVATE LTD,HARYANA
,,III,N328,NORTH 1,,KANGRA,MAPL,MAHARAJA AUTOZONE PVT LTD,HIMACHAL PRADESH
,,III,N314,NORTH 1,,MANDI,<PERSON>,KRISHNA MOTOR GARAGE,HIMACHAL PRADESH
,,III,N323,NORTH 1,,SOLAN,LOMP,LONGWALL MOTORS PVT LTD,HIMACHAL PRADESH
,,III,N323,NORTH 1,,SHIMLA,LOMP,LONGWALL MOTORS PVT LTD,HIMACHAL PRADESH
,,III,N326,NORTH 1,,SRINAGAR,<PERSON>,ARG AUTOMOBILES PVT LTD,JAMMU AND KASHMIR
,,III,NW17,NORTH 1,,SRINAGAR,KYAP,KY AUTOWHEELS PVT LTD,JAMMU AND KASHMIR
,,II,NW14,NORTH 1,,JAMMU,AMGA,AMG AUTOCRAFT PVT LTD,JAMMU AND KASHMIR
,,III,NW14,NORTH 1,,KATHUA,AMGA,AMG AUTOCRAFT PVT LTD,JAMMU AND KASHMIR
,,III,NN32,NORTH 1,,ANANTNAG,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
,,nan,NS04,NORTH 1,,JAMMU,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
,,III,NS05,NORTH 1,,SRINAGAR,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
,,II,NW03,NORTH 1,,JAMMU,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
,,II,NS05,NORTH 1,,SRINAGAR,ARIS,ARISE AUTOZ PVT LTD,JAMMU AND KASHMIR
,,III,E303,EAST 2,,JAMSHEDPUR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,E304,EAST 2,,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,nan,EE02,EAST 2,,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,ES02,EAST 2,,DHANBAD,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,EN08,EAST 2,,JAMSHEDPUR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,E304,EAST 1,,DEOGHAR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,ES02,EAST 1,,HAZARIBAGH,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,nan,ES02,EAST 2,,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,II,EW02,EAST 2,,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,nan,ES02,EAST 2,,RANCHI,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,E304,EAST 2,,DEOGHAR,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,nan,ES02,EAST 2,,DALTONGANJ,SING,SINGHANIA FUTURE PVT. LTD,JHARKHAND
,,III,S318,SOUTH 1,,VIJAYAPURA,JCPL,JOSHI CARS PVT LTD,KARNATAKA
,,nan,BL01,DIRECT SALES,,BENGALURU,BL01,BLU-SMART PREMIUM FLEET PVT LTD,KARNATAKA
,,nan,SS24,SOUTH 1,,BENGALURU,ARTH,KSIRI MOBILITY SOLUTIONS PRIVATE LIMITED,KARNATAKA
,,nan,SW19,SOUTH 1,,BENGALURU,ARTH,KSIRI MOBILITY SOLUTIONS PRIVATE LIMITED,KARNATAKA
,,III,S311,SOUTH 1,,HUBLI,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
,,III,SN28,SOUTH 1,,BELGAUM,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
,,III,SN31,SOUTH 1,,GULBARGA,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
,,III,S311,SOUTH 1,,HOSPET,BELL,BELLAD AND COMPANY PVT LTD,KARNATAKA
,,nan,SS12,SOUTH 1,,SHIMOGA,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
,,III,SW11,SOUTH 1,,SHIMOGA,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
,,nan,<PERSON>,SOUTH 1,,<PERSON>,CMPL,CAUVERY MOTORS PRIVATE LTD,KARNATAKA
,,III,S304,SOUTH 1,,MYSORE,DYUT,DYUTHI AUTOMOBILES,KARNATAKA
,,III,SN09,SOUTH 1,,<PERSON>,DYUT,DYUTHI AUTOMOBILES,KARNATAKA
,,III,S312,SOUTH 1,,MANGALORE,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SE01,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,<PERSON>,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SE03,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,III,SS02,SOUTH 1,,TUMKUR,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,III,SN10,SOUTH 1,,MANGALORE,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,I+,SS03,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,III,SN30,SOUTH 1,,UDUPI,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
,,nan,SS02,SOUTH 1,,BENGALURU,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,KARNATAKA
