Branch,Zone,Service_Dealer_Type,Main_Outlet_code,Region_description,Name_1,City,Company_Code,Company_Name,Description
,,nan,WS22,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,I+,W302,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,I,W302,WEST 1,,MUMBAI,ARNV,KRISHIV AUTO AGENCIES,MAHARASHTRA
,,I,W304,WEST 1,,PUNE,BUBH,B.U BHANDARI AUTO PVT LTD,MAHARASHTRA
,,nan,W308,WEST 1,,PUNE,BUBH,B.U BHANDARI AUTO PVT LTD,MAHARASHTRA
,,I,W312,WEST 1,,PUNE,BUBH,B.U BHANDARI AUTO PVT LTD,MAHARASHTRA
,,nan,WE01,WEST 1,,PUNE,BUBH,B.U BHANDARI AUTO PVT LTD,MAHARASHTRA
,,III,WN12,WEST 1,,BARAMATI,BUBH,B.U BHANDARI AUTO PVT LTD,MAHARASHTRA
,,III,WN21,WEST 1,,LATUR,DHOO,DHOOT MOTORS AUTOTECH,MAHARASHTRA
,,III,WN29,WEST 1,,<PERSON>,DHOO,DHOOT MOTORS AUTOTECH,MAHARASHTRA
,,nan,WS01,WEST 1,,AURANGABAD,DHOO,DHOOT MOTORS AUTOTECH,MAHARASHTRA
,,III,WW01,WEST 1,,AURANGABAD,DHOO,DHOOT MOTORS AUTOTECH,MAHARASHTRA
,,III,WS13,WEST 1,,SHIRDI,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,III,WS13,WEST 1,,JALGAON,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,III,WN14,WEST 1,,DHULE,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,III,WN27,WEST 1,,AHMEDNAGAR,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,nan,WS13,WEST 1,,NASHIK,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,II,WW12,WEST 1,,NASHIK,JITE,JITENDRA WHEELS PVT LTD.,MAHARASHTRA
,,nan,<PERSON>,WEST 1,,PUNE,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,MAHARASHTRA
,,I+,WW24,WEST 1,,PUNE,<PERSON>,JUBILANT MOTORWORKS PRIVATE LIMITED,MAHARASHTRA
,,nan,WS26,WEST 1,,MUMBAI,MODI,CARNEXT AUTO PVT LTD,MAHARASHTRA
,,I+,WW28,WEST 1,,PANVEL,MODI,CARNEXT AUTO PVT LTD,MAHARASHTRA
,,III,WS26,WEST 1,,ALIBAUG,MODI,CARNEXT AUTO PVT LTD,MAHARASHTRA
,,nan,WX01,WEST 1,,MIRA ROAD,MODI,CARNEXT AUTO PVT LTD,MAHARASHTRA
,,II,W305,WEST 1,,NAGPUR,NANG,NANGIA CARS PVT LTD,MAHARASHTRA
,,III,WN05,WEST 1,,AMRAVATI,NANG,NANGIA CARS PVT LTD,MAHARASHTRA
,,III,WN28,WEST 1,,CHANDRAPUR,NANG,NANGIA CARS PVT LTD,MAHARASHTRA
,,nan,WE02,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,II,WN20,WEST 1,,NAVI MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,I+,WN26,WEST 1,,NAVI MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,nan,WS06,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,nan,WS15,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,nan,WS18,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,nan,WS19,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,I+,WW06,WEST 1,,MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,I+,WE02,WEST 1,,NAVI MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,I+,WW22,WEST 1,,NAVI MUMBAI,<PERSON>,TEJPAL MOTORS PVT LTD,MAHARASHTRA
,,III,WS05,WEST 1,,SANGLI,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,III,WN07,WEST 1,,SATARA,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,III,W309,WEST 2,,SOLAPUR,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,nan,WS05,WEST 1,,KOLHAPUR,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,III,WW05,WEST 1,,KOLHAPUR,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,nan,WU07,WEST 1,,SANGLI,UNIQ,UNIQUE AUTOMOBILES,MAHARASHTRA
,,III,E306,EAST 2,,IMPHAL,<PERSON>,GMDS MOTORS PVT LTD,MANIPUR
,,III,EW06,EAST 2,,IMPHAL,<PERSON>,GMDS MOTORS PVT LTD,MANIPUR
,,nan,EX01,EXPORT,,EXPORT,EXPORT,EXPORT - NEPAL,NEPAL
,,nan,EX200052,EXPORT,,EXPORT,EXPORT,EXPORT - NEPAL,NEPAL
,,nan,EX200060,EXPORT,,EXPORT,EXPORT,EXPORT - NEPAL,NEPAL
,,nan,EX200061,EXPORT,,EXPORT,EXPORT,EXPORT - NEPAL,NEPAL
,,nan,ES08,EAST 1,,ROURKELA,SSSP,S S STEELLOY PVT LTD,ORISSA
,,II,E302,EAST 1,,BHUBANESWAR,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,III,EN04,EAST 1,,SAMBALPUR,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,III,EN13,EAST 1,,ANGUL,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,III,EN06,EAST 1,,BALASORE,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,III,EN07,EAST 2,,<PERSON>,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,nan,EN13,EAST 1,,ANGUL,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,II,E302,EAST 1,,CUTTACK,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,nan,EN04,EAST 1,,ROURKELA,EMPR,EMPREO WHEELS PVT. LTD,ORISSA
,,nan,ES07,EAST 1,,BHUBANESWAR,SSAP,SUPER SALES AUTOMOBILES PVT LMT,ORISSA
,,I,ES07,EAST 1,,BHUBANESWAR,SSAP,SUPER SALES AUTOMOBILES PVT LMT,ORISSA
,,III,S315,SOUTH 2,,ARIYANKUPPAM,FPLA,FPL VEHICLES PVT LTD,PUDUCHERRY
,,III,<PERSON>,SOUTH 2,,PONDICHERRY,FPLA,FPL VEHICLES PVT LTD,PUDUCHERRY
,,III,N302,NORTH 1,,JALANDHAR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,III,NS07,NORTH 1,,AMRITSAR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,III,N302,NORTH 1,,NAWANSHAHAR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,III,N302,NORTH 1,,HOSHIARPUR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,nan,NS07,NORTH 1,,AMRITSAR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,III,N302,NORTH 1,,HOSHIARPUR,CARD,CARGO MOTORS PVT. LTD,PUNJAB
,,II,N301,NORTH 1,,LUDHIANA,<PERSON>,GITANSH MOTORS PVT LTD,PUNJAB
,,III,NN17,NORTH 1,,BHATINDA,<PERSON>,GITANSH MOTORS PVT LTD,PUNJAB
,,nan,N301,NORTH 2,,LUDHIANA,<PERSON>,GITANSH MOTORS PVT LTD,PUNJAB
,,II,N308,NORTH 1,,MOHALI,<PERSON>,KRISHNA MOTOR GARAGE,PUNJAB
,,III,N310,NORTH 1,,PATIALA,<PERSON>,KRISHNA MOTOR GARAGE,PUNJAB
,,III,NN23,NORTH 1,,PATIALA,<PERSON>,KRISHNA MOTOR GARAGE,PUNJAB
,,nan,NS01,NORTH 1,,CHANDIGARH,<PERSON>,KRISHNA MOTOR GARAGE,PUNJAB
,,II,NW12,NORTH 1,,CHANDIGARH,<PERSON>,KRISHNA MOTOR GARAGE,PUNJAB
,,III,N325,NORTH 1,,BHATINDA,RPJM,RP JHUNTHRA MOTORS PRIVATE LIMITED,PUNJAB
,,III,N325,NORTH 1,,FARIDKOT,RPJM,RP JHUNTHRA MOTORS PRIVATE LIMITED,PUNJAB
,,II,N319,NORTH 2,,UDAIPUR,CHAM,CHAMBAL MOTORS PVT LTD,RAJASTHAN
,,III,N303,NORTH 2,,KOTA,CHAM,CHAMBAL MOTORS PVT LTD,RAJASTHAN
,,III,N319,NORTH 2,,BHILWARA,CHAM,CHAMBAL MOTORS PVT LTD,RAJASTHAN
,,nan,NS14,NORTH 2,,ALWAR,<PERSON>,CHANDRAMAULI,RAJASTHAN
,,III,NW16,NORTH 2,,ALWAR,<PERSON>,CHANDRAMAULI,RAJASTHAN
,,III,NS14,NORTH 2,,BHARATPUR,<PERSON>,CHANDRAMAULI,RAJASTHAN
,,III,NS14,NORTH 2,,BEHROR,<PERSON>,CHANDRAMAULI,RAJASTHAN
,,II,N309,NORTH 2,,JODHPUR,<PERSON>,GANPATI FOUR WHEELS,RAJASTHAN
,,II,NN21,NORTH 2,,BIKANER,<PERSON>,GANPATI FOUR WHEELS,RAJASTHAN
,,III,N309,NORTH 2,,SRI GANGANAGAR,<PERSON>,GANPATI FOUR WHEELS,RAJASTHAN
,,nan,NE02,NORTH 2,,JAIPUR,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,III,NS02,NORTH 2,,BHIWADI,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,III,NN15,NORTH 2,,AJMER,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,III,NS02,NORTH 2,,SIKAR,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,nan,NS02,NORTH 2,,JAIPUR,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,nan,NS13,NORTH 2,,JAIPUR,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,II,NW01,NORTH 2,,JAIPUR,GPSA,GPS AUTOMOBILES PVT LTD,RAJASTHAN
,,nan,NS08,NORTH 2,,KOTA,OMPL,OM AUTOMOTORS PVT LTD,RAJASTHAN
,,III,NS08,NORTH 2,,KOTA,OMPL,OM AUTOMOTORS PVT LTD,RAJASTHAN
,,II,N319,NORTH 2,,UDAIPUR,PPSM,PPS MOTORS PRIVATE LTD,RAJASTHAN
,,III,NN33,NORTH 2,,BHILWARA,PPSM,PPS MOTORS PRIVATE LTD,RAJASTHAN
,,III,NW13,NORTH 2,,UDAIPUR,PPSM,PPS MOTORS PRIVATE LTD,RAJASTHAN
,,nan,N321,NORTH 2,,JAIPUR,SMPL,SAISUM MOTORS PVT LTD,RAJASTHAN
,,I,NW15,NORTH 2,,JAIPUR,SMPL,SAISUM MOTORS PVT LTD,RAJASTHAN
,,III,N321,NORTH 2,,SIKAR,SMPL,SAISUM MOTORS PVT LTD,RAJASTHAN
,,II,S301,SOUTH 2,,COIMBATORE,ARTE,ARTEMIS CARS INDIA PVT LTD,TAMIL NADU
,,III,S302,SOUTH 2,,MADURAI,ARTE,ARTEMIS CARS INDIA PVT LTD,TAMIL NADU
,,nan,SE05,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,III,SN12,SOUTH 2,,VELLORE,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,III,SN34,SOUTH 2,,KRISHNAGIRI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,nan,SS05,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,nan,SS09,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,nan,SS05,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,I,SW05,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,I,SW10,SOUTH 2,,AMBATTUR,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,I+,SW17,SOUTH 2,,CHENNAI,FPLA,FPL VEHICLES PVT LTD,TAMIL NADU
,,II,S309,SOUTH 2,,COIMBATORE,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,S310,SOUTH 2,,MADURAI,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN20,SOUTH 2,,SALEM,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN23,SOUTH 2,,MADURAI,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN24,SOUTH 2,,TRICHY,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN29,SOUTH 2,,THANJAVUR,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN33,SOUTH 2,,ERODE,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,III,SN36,SOUTH 2,,TIRUNELVELI,PPSM,PPS MOTORS PRIVATE LTD,TAMIL NADU
,,nan,SS20,SOUTH 2,,COIMBATORE,<PERSON>,RAMANI AUTO PRIVATE LIMITED,TAMIL NADU
,,II,<PERSON>,SOUTH 2,,COIMBATORE,<PERSON>,RAMANI AUTO PRIVATE LIMITED,TAMIL NADU
,,nan,SS20,SOUTH 2,,KARUR,<PERSON>,RAMANI AUTO PRIVATE LIMITED,TAMIL NADU
,,III,SS20,SOUTH 2,,<PERSON>,<PERSON>,RAMANI AUTO PRIVATE LIMITED,TAMIL NADU
,,nan,SS23,SOUTH 2,,CHENNAI,SMKA,SMK AUTO LLP,TAMIL NADU
,,I,SW20,SOUTH 2,,CHENNAI,SMKA,SMK AUTO LLP,TAMIL NADU
,,nan,SS19,SOUTH 2,,HYDERABAD,AMPL,AUTOMOTIVE MANUFACTURERS,TELANGANA
,,I+,nan,SOUTH 2,,<PERSON>,AMPL,AUTOMOTIVE MANUFACTURERS,TELANGANA
,,nan,SS22,SOUTH 2,,MAHBUBNAGAR,NARM,NARMADA MOTOR VALLEY,TELANGANA
,,nan,nan,SOUTH 2,,<PERSON>,NARM,NARMADA MOTOR VALLEY,TELANGANA
,,III,SW24,SOUTH 1,,KHAMMAM,NARM,NARMADA MOTOR VALLEY,TELANGANA
,,nan,SS14,SOUTH 2,,HYDERABAD,PPSM,PPS MOTORS PRIVATE LTD,TELANGANA
,,nan,SS18,SOUTH 2,,HYDERABAD,PPSM,PPS MOTORS PRIVATE LTD,TELANGANA
,,I,SW12,SOUTH 2,,HYDERABAD,PPSM,PPS MOTORS PRIVATE LTD,TELANGANA
,,I,S314,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,nan,SE04,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,III,SS04,SOUTH 2,,NIZAMABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,III,SS04,SOUTH 2,,WARANGAL,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,III,SS04,SOUTH 2,,KHAMMAM,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,III,SN18,SOUTH 2,,KARIMNAGAR,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,III,SS04,SOUTH 2,,MAHBUBNAGAR,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,nan,SS04,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,nan,SS08,SOUTH 2,,WARANGAL,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,nan,SS15,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,I,SW04,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,I,SW09,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,I+,SW16,SOUTH 2,,HYDERABAD,RAAM,RAAM4WHEELERS LLP,TELANGANA
,,nan,SS25,SOUTH 2,,HYDERABAD,VIBR,VIBRANT VEHICLES PVT LTD,TELANGANA
,,nan,S319,SOUTH 2,,HYDERABAD,VIBR,VIBRANT VEHICLES PVT LTD,TELANGANA
,,III,N318,CENTRAL 2,,JHANSI,SOCL,SOCMO MOTORS LLP,UTTAR PRADESH
,,III,N320,CENTRAL 2,,VARANASI,GTPL,GANPATI TRADECOM PVT LTD,UTTAR PRADESH
,,III,DU03,CENTRAL 2,,FIROZABAD,PAVL,PREM AUTO VENTURES LLP,UTTAR PRADESH
,,II,N306,CENTRAL 2,,LUCKNOW,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,nan,NE01,CENTRAL 2,,LUCKNOW,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,nan,NN12,CENTRAL 2,,SULTANPUR,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,III,N306,CENTRAL 2,,SITAPUR,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,III,N306,CENTRAL 2,,LAKHIMPUR,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,nan,NS11,CENTRAL 2,,GORAKHPUR,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,nan,NS12,CENTRAL 2,,LUCKNOW,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,III,NW09,CENTRAL 2,,GORAKHPUR,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,II,NW10,CENTRAL 2,,LUCKNOW,BEEA,BEEAAR AUTOWHEELS INDIA,UTTAR PRADESH
,,I+,D302,CENTRAL 2,,<PERSON>,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,nan,DE05,CENTRAL 2,,GHAZIABAD,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,III,DE05,CENTRAL 2,,BULANDSHAHR,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,nan,<PERSON>,CENTRAL 2,,<PERSON>,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,I+,DW08,CENTRAL 2,,GHAZIABAD,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,I+,DW12,CENTRAL 2,,<PERSON>,CRYS,CRYSTAL AUTOCARS PVT LTD.,UTTAR PRADESH
,,III,NS15,CENTRAL 2,,<PERSON>,DATP,DEE AUTOTECH PRIVATE LIMITED,UTTAR PRADESH
,,nan,NS15,CENTRAL 2,,<PERSON>,DATP,DEE AUTOTECH PRIVATE LIMITED,UTTAR PRADESH
,,I+,D304,CENTRAL 2,,GREATER NOIDA,FRON,FRONTIER AUTOMOBILES PVL,UTTAR PRADESH
,,nan,DS08,CENTRAL 2,,<PERSON>,FRON,FRONTIER AUTOMOBILES PVL,UTTAR PRADESH
,,I+,DW13,CENTRAL 2,,<PERSON>,FRON,FRONTIER AUTOMOBILES PVL,UTTAR PRADESH
,,II,N307,CENTRAL 2,,DEHRADUN,<PERSON>,GRAND VEHICLES (P) LTD.,UTTAR PRADESH
,,III,N307,CENTRAL 2,,MEERUT,<PERSON>,GRAND VEHICLES (P) LTD.,UTTAR PRADESH
,,nan,NS06,CENTRAL 2,,MEERUT,<PERSON>,GRAND VEHICLES (P) LTD.,UTTAR PRADESH
,,III,NW05,CENTRAL 2,,MEERUT,<PERSON>,GRAND VEHICLES (P) LTD.,UTTAR PRADESH
,,III,N311,CENTRAL 2,,BAREILLY,KESH,<PERSON> AUTOMOBILES PV,UTTAR PRADESH
,,III,NN28,CENTRAL 2,,MORADABAD,KESH,<PERSON> AUTOMOBILES PV,UTTAR PRADESH
,,nan,D305,CENTRAL 2,,MUZAFFARNAGAR,NALP,NAMAHA AUTO LLP,UTTAR PRADESH
,,III,D305,CENTRAL 2,,SAHARANPUR,NALP,NAMAHA AUTO LLP,UTTAR PRADESH
,,III,DW09,CENTRAL 2,,AGRA,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,III,N304,CENTRAL 2,,AGRA,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,III,N304,CENTRAL 2,,MATHURA,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,III,NN20,CENTRAL 2,,ALIGARH,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,III,NN29,NORTH 2,,ETAWAH,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,nan,NN30,NORTH 2,,MATHURA,NRLC,NRL CARS PVT LTD,UTTAR PRADESH
,,III,N313,CENTRAL 2,,<PERSON>,PUNE,PUNEET CARS SALES PVT LTD,UTTAR PRADESH
,,III,NN25,NORTH 2,,<PERSON>,PUNE,PUNEET CARS SALES PVT LTD,UTTAR PRADESH
,,III,NN26,NORTH 2,,AZAMGARH,PUNE,PUNEET CARS SALES PVT LTD,UTTAR PRADESH
,,nan,WS12,CENTRAL 2,,VARANASI,PUNE,PUNEET CARS SALES PVT LTD,UTTAR PRADESH
,,III,WW11,CENTRAL 2,,VARANASI,PUNE,PUNEET CARS SALES PVT LTD,UTTAR PRADESH
,,III,N318,CENTRAL 2,,JHANSI,SOCM,SOCMO CARS PVT. LTD.,UTTAR PRADESH
,,III,N318,CENTRAL 2,,JHANSI,SOCM,SOCMO CARS PVT. LTD.,UTTAR PRADESH
,,nan,NS03,CENTRAL 2,,KANPUR,SOCM,SOCMO CARS PVT. LTD.,UTTAR PRADESH
,,III,NW02,CENTRAL 2,,KANPUR,SOCM,SOCMO CARS PVT. LTD.,UTTAR PRADESH
,,III,NW11,CENTRAL 2,,KANPUR,SOCM,SOCMO CARS PVT. LTD.,UTTAR PRADESH
,,III,NN19,CENTRAL 2,,ROORKEE,<PERSON>,GRAND VEHICLES (P) LTD.,UTTARAKHAND
,,III,N316,CENTRAL 2,,HALDWANI,KESH,<PERSON> AUTOMOBILES PV,UTTARAKHAND
,,III,NN31,CENTRAL 2,,RUDRAPUR,KESH,<PERSON> AUTOMOBILES PV,UTTARAKHAND
,,nan,EE01,EAST 1,,<PERSON>,AHIT,AUTO HITECH PVT LTD,WEST BENGAL
,,III,ES01,EAST 1,,DURGAPUR,AHIT,AUTO HITECH PVT LTD,WEST BENGAL
,,III,ES01,EAST 1,,SILIGURI,AHIT,AUTO HITECH PVT LTD,WEST BENGAL
,,nan,ES01,EAST 1,,<PERSON>,AHIT,AUTO HITECH PVT LTD,WEST BENGAL
,,I,EW01,EAST 1,,<PERSON>,AHIT,AUTO HITECH PVT LTD,WEST BENGAL
,,I,E308,EAST 1,,<PERSON>,PRIM,PRIME AUTO CARS LIMITED,WEST BENGAL
,,nan,EN18,EAST 1,,HOWRAH,PRIM,PRIME AUTO CARS LIMITED,WEST BENGAL
,,III,EN18,EAST 1,,HOWRAH,PRIM,PRIME AUTO CARS LIMITED,WEST BENGAL
,,nan,ES05,EAST 1,,<PERSON>,PRIM,PRIME AUTO CARS LIMITED,WEST BENGAL
,,III,E308,EAST 1,,SERAMPORE,PRIM,PRIME AUTO CARS LIMITED,WEST BENGAL
,,III,E305,EAST 1,,SILIGURI,SAPL,SILIGURI AUTO WORKS PVT L,WEST BENGAL
,,nan,ES06,EAST 1,,<PERSON>,SCPL,SAINI COMMERCE PVT LTD,WEST BENGAL
,,I,ES06,EAST 1,,<PERSON>,SCPL,SAINI COMMERCE PVT LTD,WEST BENGAL
,,nan,ES06,EAST 1,,<PERSON>,SCPL,SAINI COMMERCE PVT LTD,WEST BENGAL
,,nan,E311,EAST 1,,ASANSOL,SING,SINGHANIA FUTURE PVT. LTD,WEST BENGAL
,,III,E311,EAST 1,,ASANSOL,SING,SINGHANIA FUTURE PVT. LTD,WEST BENGAL
,,III,ES07,EAST 1,,<PERSON>,SSAP,SUPER SALES AUTOMOBILES PVT LMT,WEST BENGAL
